Cambiar huella "XA201" (de "User:arduino_mega_header") a "User:arduino_mega_header": OK
Cambiar huella "U304" (de "Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT") a "Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT": OK
Cambiar huella "U303" (de "Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT") a "Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT": OK
Cambiar huella "TP405" (de "TestPoint:TestPoint_Pad_D2.0mm") a "TestPoint:TestPoint_Pad_D2.0mm": OK
Cambiar huella "TP404" (de "TestPoint:TestPoint_Pad_D2.0mm") a "TestPoint:TestPoint_Pad_D2.0mm": OK
Cambiar huella "TP403" (de "TestPoint:TestPoint_Pad_D2.0mm") a "TestPoint:TestPoint_Pad_D2.0mm": OK
Cambiar huella "TP402" (de "TestPoint:TestPoint_Pad_D2.0mm") a "TestPoint:TestPoint_Pad_D2.0mm": OK
Cambiar huella "TP401" (de "TestPoint:TestPoint_Pad_D2.0mm") a "TestPoint:TestPoint_Pad_D2.0mm": OK
Cambiar huella "R407" (de "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder") a "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder": OK
Cambiar huella "R406" (de "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder") a "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder": OK
Cambiar huella "R405" (de "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder") a "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder": OK
Cambiar huella "R404" (de "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder") a "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder": OK
Cambiar huella "R403" (de "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder") a "Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder": OK
